title,year,subtopic,method,data,key_result,stated_limitation,url
"Pretrained Time-Series Foundation Models for Financial Return Forecasting","2026","financial TSFM evaluation","Benchmarks pretrained TSFMs against train-from-scratch models under equalized context and rolling-origin evaluation.","AAPL, AMZN, GOOG, JPM, META daily returns.","TSFMs won 8/10 task rankings, but gains over random walk were small and sparse; only two Diebold–Mariano tests rejected equal/inferior accuracy.","Five equities only; no universal alpha claim, transaction costs, or live deployment test.","https://arxiv.org/abs/2606.27100"
"Nexus: An Agentic Framework for Time Series Forecasting","2026","agentic contextual forecasting","Decomposes forecasts into macro and micro temporal reasoning, contextual retrieval, and synthesis by specialized agents.","Zillow metrics and volatile stock-market equities after LLM knowledge cutoffs.","Reportedly matches or outperforms TSFMs and LLM baselines on post-cutoff sets.","No calibrated uncertainty, transaction costs, or controlled contamination audit in the abstract.","https://arxiv.org/abs/2605.14389"
"Bridging the Last Mile of Time Series Forecasting with LLM Agents","2026","agentic contextual forecasting","Adds retrieval, constrained forecast revision, long-horizon decomposition, and memory reflection on a forecasting backbone.","Real-world business case studies.","Shows case-study evidence that agents can turn statistical forecasts into business-ready revisions.","Case studies rather than a standardized contamination-resistant benchmark.","https://arxiv.org/abs/2606.02497"
"LLM-based Agents for Forecasting and Prediction: Methods, Training, Evaluation, and Applications","2026","evaluation and reliability","Reviews standalone, retrieval/tool-augmented, and hybrid forecasting agents and evaluation protocols.","Finance, weather, health, energy, and operations benchmarks.","Identifies calibration under shift, contamination-resistant live evaluation, cost reporting, and feedback loops as unresolved.","The review explicitly states that measurement and contamination remain limiting factors.","https://arxiv.org/abs/2608.23058"
"MIRAI: Evaluating LLM Agents for Event Forecasting","2024","event forecasting benchmarks","Introduces APIs for retrieving structured events and news before predicting future international events.","GDELT-derived relational event tasks and historical news.","Evaluates source integration, code/tool use, and temporal event reasoning across horizons.","Targets international events rather than financial returns; no economic utility test.","https://arxiv.org/abs/2407.01231"
"Time-Series Forecasting for Out-of-Distribution Generalization Using Invariant Learning","2024","regime shift and OOD","Infers temporal environments and learns invariant representations with a surrogate loss for OOD forecasting.","Multiple public forecasting datasets with covariates.","Reports gains up to 85% and uniform improvements across evaluated backbones.","Focuses on univariate targets with covariates; unobserved causes and missing environment labels remain challenges.","https://arxiv.org/abs/2406.09130"
"Handling Concept Drift in Global Time Series","2023","regime shift and OOD","Studies transfer-learning and concept-drift handling for global forecasting models as distributions change.","Four global time-series datasets plus statistical and LightGBM baselines.","Shows drift-aware transfer can improve forecasting under changing distributions.","Not financial or agentic; authors frame global-forecasting drift handling as underdeveloped.","https://arxiv.org/pdf/2304.01512"
"Foundation Models for Time Series Analysis: A Tutorial and Survey","2024","TSFM landscape","Taxonomizes TSFM architectures, pretraining, adaptation, and modalities.","Public TSFM literature and benchmarks.","Provides a methodology-centric map of TSFMs.","Mechanisms and evaluation remain unsettled; no contamination-controlled financial benchmark.","https://arxiv.org/abs/2403.14735"
"Chronos: Learning the Language of Time Series","2024","probabilistic TSFM","Scales, quantizes, and tokenizes values, then trains T5-style language models for probabilistic forecasting.","42 public datasets plus Gaussian-process synthetic data.","Outperforms methods on seen datasets and is competitive or occasionally superior zero-shot on unseen datasets.","Benchmark overlap and no finance-specific economic evaluation complicate deployment claims.","https://arxiv.org/abs/2403.07815"
"Unified Training of Universal Time Series Forecasting Transformers","2024","probabilistic TSFM","Uses masked encoder pretraining, flexible patch sizes, and mixture distributions for universal forecasting.","LOTSA: over 27B observations across nine domains.","Competitive or superior zero-shot performance versus full-shot models.","Financial regime shifts and post-deployment drift are not tested.","https://arxiv.org/abs/2402.02592"
"A Decoder-Only Foundation Model for Time-Series Forecasting","2023","probabilistic TSFM","Pretrains a patched decoder-only Transformer on a large real and synthetic time-series corpus.","Large internal corpus and public benchmark datasets.","Reports zero-shot performance close to supervised state of the art.","External users cannot fully audit training-data overlap; finance robustness is not the focus.","https://arxiv.org/abs/2310.10688"
"TimeGPT-1","2023","probabilistic TSFM","Presents a proprietary pretrained Transformer for zero-shot forecasting across domains.","Diverse public and proprietary time-series datasets.","Reports strong zero-shot accuracy, efficiency, and simplicity.","Closed-source model limits reproducibility and contamination/calibration audits.","https://arxiv.org/abs/2310.03589"
"Time-MoE: Billion-Scale Time Series Foundation Models with Mixture of Experts","2024","probabilistic TSFM","Trains a sparse mixture-of-experts TSFM with conditional computation.","Large multi-domain pretraining collection and public benchmarks.","Reports strong scaling and transfer while activating only a subset of experts.","Scale and training cost make independent reproduction difficult; finance-specific evaluation is not central.","https://arxiv.org/abs/2409.16040"
"Time-LLM: Time Series Forecasting by Reprogramming Large Language Models","2023","LLM-based time-series models","Reprograms numerical patches into textual prototypes and feeds them to a frozen LLM.","ETT, electricity, traffic, weather, and exchange-rate benchmarks.","Reports gains over prior methods on several benchmarks without updating the LLM.","No live news grounding, regime-shift, or financial decision-utility evaluation.","https://arxiv.org/abs/2310.01728"
"A Time Series is Worth 64 Words: Long-term Forecasting with Transformers","2023","backbone forecasting","Segments histories into patches and uses channel-independent Transformer encoding.","ETT, electricity, traffic, weather, and exchange rate.","Improves long-term accuracy versus Transformer baselines while reducing attention cost.","Channel independence limits explicit cross-series interaction; no news or regime-shift setting.","https://arxiv.org/abs/2211.14730"
"iTransformer: Inverted Transformers Are Effective for Time Series Forecasting","2024","backbone forecasting","Embeds each variate as a token and applies attention across variates.","Seven real-world long-term forecasting datasets.","Reports state-of-the-art results and improved multivariate representation quality.","No uncertainty, evidence provenance, or event-aware finance tests.","https://arxiv.org/abs/2310.06625"
"Are Transformers Effective for Time Series Forecasting?","2023","backbone forecasting","Uses simple linear and decomposed-linear mappings as strong long-horizon baselines.","Nine real-life datasets: ETT, traffic, electricity, exchange rate, weather, ILI.","LTSF-Linear often outperformed sophisticated Transformers.","Result is strongest for long-horizon benchmark settings; no multimodal evidence or probabilistic calibration.","https://arxiv.org/abs/2205.13504"
"Temporal Fusion Transformers for Interpretable Multi-horizon Time Series Forecasting","2021","interpretable forecasting","Combines recurrent local processing, variable selection, gating, and interpretable attention.","Retail, electricity, and traffic-style datasets.","Outperformed strong baselines while providing variable-selection and attention views.","Authors caution that attention/importance is not causal explanation; no live news or regime-shift validation.","https://arxiv.org/abs/1912.09363"
"N-HiTS: Neural Hierarchical Interpolation for Time Series Forecasting","2022","efficient backbones","Uses hierarchical interpolation and multi-rate sampling for long-horizon forecasts.","Large-scale long-horizon benchmark datasets.","Reports almost 20% average improvement over recent Transformers and up to 50x lower computation.","Assumes smooth multi-scale structure; no textual evidence or abrupt financial shocks.","https://arxiv.org/abs/2201.12886"
"Long-term Forecasting with TiDE: Time-series Dense Encoder","2023","efficient backbones","Uses an MLP encoder-decoder with covariate projection and residual temporal decoding.","Long-term forecasting benchmarks with static and dynamic covariates.","Matches or outperforms Transformers and is reported 5–10x faster.","Guarantees concern linear dynamical systems; no news, calibration, or financial-regime evaluation.","https://arxiv.org/abs/2304.08424"
"Conformalized Quantile Regression","2019","uncertainty calibration","Calibrates conditional quantile models with conformal residual corrections for finite-sample coverage.","Synthetic and benchmark regression datasets.","Provides marginal coverage guarantees with adaptive interval widths.","Coverage is marginal/exchangeability-based and can fail under temporal dependence or shift without adaptation.","https://arxiv.org/abs/1905.03222"
